算法,100,1000,5000
BUM,115.18,2006.24,11955.41
IS,220.28,22129.06,603137.02
QD3P,75.57,1582.58,8554.35
RQ,99.07,2251.08,12505.57
TDM,598.96,3993.42,19505.86
